RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
101,Steven Stamkos,N,"C,RW",38,NSH,36,$8.0,544.4,6.5,126.3,10.1,125.8,24.8,, ,84,17.8,35,27,63,210,14,25,0,0,40,83,-3,44,5,336,282,54%,,,,,,,,,,
102,Rickard Rakell,N,"C,LW,RW",39,PIT,33,$5.0,542.5,6.9,124.4,10.0,133.4,31.4,, ,79,19.1,29,32,61,209,8,18,1,2,61,97,1,20,4,75,135,36%,,,,,,,,,,
103,Travis Konecny,Y,"LW,RW",40,PHI,29,$8.8,542.0,6.6,123.9,9.9,132.2,29.2,, ,83,18.8,26,43,69,190,4,15,1,1,38,101,1,47,4,26,42,39%,,,,,,,,,,
104,Brock Nelson,N,C,51,COL,34,$7.5,478.5,5.7,122.8,9.8,136.3,32.3,, ,84,18.8,27,30,57,193,6,13,1,2,58,42,10,31,5,661,666,50%,,,,,,,,,,
105,Ilya Sorokin,,G,6,NYI,31,$8.3,443.4,8.1,122.8,9.8,35.6,-69.4,, ,,,,,,,,,,,,,,,,,,,,55,25,23,8,3,"1,560",159,0.908,2.89
106,Jake Oettinger,,G,7,DAL,27,$8.3,443.2,8.1,122.7,9.8,24.6,-81.4,, ,,,,,,,,,,,,,,,,,,,,55,32,17,6,4,"1,395",146,0.906,2.65
107,Timo Meier,Y,"LW,RW",41,N.J,29,$8.8,540.5,6.6,122.4,9.8,96.8,-10.2,, ,82,17.6,27,26,53,257,9,15,0,0,53,123,0,32,4,44,63,41%,,,,,,,,,,
108,Sam Bennett,N,C,52,FLA,30,$8.0,476.4,5.9,120.8,9.7,135.2,27.2,, ,81,16.8,24,28,51,197,4,9,0,0,38,127,4,64,4,484,552,47%,,,,,,,,,,
109,Mikhail Sergachev,Y,D,21,UTA,28,$8.5,510.5,6.6,119.5,9.6,93.0,-16.0,, ,78,24.1,11,42,53,145,4,23,0,1,129,53,0,41,2,0,0,0%,,,,,,,,,,
110,Miro Heiskanen,Y,D,22,DAL,27,$8.5,509.1,6.6,118.1,9.4,72.6,-37.4,, ,78,25.2,9,45,54,153,2,20,1,1,133,38,7,30,2,0,0,0%,,,,,,,,,,
111,Michael Misa,Y,C,53,S.J,19,$1.0,472.2,6.1,116.5,9.3,138.7,27.7,,+ +,77,16.7,27,37,64,151,10,24,0,0,43,44,-2,28,4,361,428,46%,,,,,,,,,,
112,Connor Bedard,Y,"C,RW",42,CHI,21,$15.0,532.1,8.1,114.0,9.1,62.5,-49.5,,+ +,66,20.9,29,48,76,216,9,27,0,0,28,35,-10,40,4,257,355,42%,,,,,,,,,,
113,John Carlson,N,D,23,T.B,36,$8.5,504.2,6.2,113.3,9.1,85.1,-27.9,,+,82,22.2,8,47,54,165,2,18,0,0,116,48,9,32,1,0,1,0%,,,,,,,,,,
114,Mason McTavish,Y,C,55,STL,23,$7.0,468.0,5.8,112.4,9.0,135.3,21.3,, ,80,17.0,23,32,55,177,6,14,0,0,37,99,-3,52,3,480,477,50%,,,,,,,,,,
115,Zach Hyman,Y,"LW,RW",43,EDM,34,$5.5,528.0,6.7,109.9,8.8,99.0,-16.0,, ,78,19.9,37,25,62,230,12,20,0,0,28,70,10,40,6,1,3,27%,,,,,,,,,,
116,Marco Rossi,Y,C,59,VAN,24,$5.0,460.4,5.9,104.8,8.4,—,N/A,, ,78,19.1,24,37,61,142,7,21,0,0,45,68,-9,29,3,448,507,47%,,,,,,,,,,
117,Pavel Dorofeyev,Y,"LW,RW",44,NYR,25,$11.0,521.8,6.5,103.7,8.3,70.6,-46.4,, ,81,17.6,37,27,64,233,18,28,0,0,32,34,2,29,6,1,3,13%,,,,,,,,,,
118,Mark Stone,Y,RW,45,VGK,34,$9.5,520.8,7.7,102.7,8.2,106.1,-11.9,, ,68,19.5,24,47,71,147,8,27,1,2,49,39,6,19,5,3,11,24%,,,,,,,,,,
119,Gavin McKenna,N,LW,41,TOR,18,$1.1,513.7,6.4,102.6,8.2,93.6,-25.4,,- -,80,17.0,23,42,65,171,7,20,0,0,35,95,0,32,3,0,0,40%,,,,,,,,,,
120,Juuse Saros,,G,8,NSH,31,$7.7,423.0,7.0,102.5,8.2,113.7,-6.3,, ,,,,,,,,,,,,,,,,,,,,60,27,24,8,3,"1,623",177,0.902,2.95
